2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
1889	Intel Core i3-2332M	2.2 GHz	2	rPGA988B	1353	 
1890	AMD GX-415GA SOC	1.5 GHz	4	FT3 (769-BGA)	1350	 
1891	AMD A4-5100 APU	1.6 GHz	4	FT3	1346	 
1892	AMD A4-5050 APU	1.6 GHz	4	FT3	1343	 
1893	Intel Celeron G1610T	2.3 GHz	2	LGA1155	1341	 
1894	Intel Atom x7-Z8700	1.6 GHz	4	BGA1380	1340	 
1895	AMD A8-3520M APU	1.6 GHz	4	FS1	1340	 
1896	Intel Xeon L3110	3.0 GHz	2	LGA775	1338	 
1897	Intel Xeon L5240	3.0 GHz	2	LGA771	1337	 
1898	AMD A6-9225	2.6 GHz	2	BGA (FT4)	1334	 
1899	AMD A6-3430MX APU	1.7 GHz	4	FS1	1331	 
1900	AMD Athlon II X3 405e	2.3 GHz	3	AM3	1331	 
1901	Intel Atom C2550	2.4 GHz	4	BGA1283	1331	 
1902	AMD Athlon II X3 400e	2.2 GHz	3	AM3	1331	 
1903	Intel Pentium N3700	1.6 GHz	4	BGA1170	1329	 
1904	AMD Phenom II X4 810	2.6 GHz	4	AM3	1328	 
1905	AMD A8-4555M APU	1.6 GHz	4	FP2	1328	 
1906	Intel Pentium 2020M	2.4 GHz	2	PGA988	1328	 
1907	AMD Athlon X2 280	3.6 GHz	2	AM3	1327	 
1908	Intel Atom T5700	1.7 GHz	4	1326	 
1909	Intel Core i5 750S	2.4 GHz	4	LGA1156	1326	 
1910	AMD PRO A6-9500B	2.3 GHz	2	FP4	1323	 
1911	VIA QuadCore C4650@2.0GHz	2.0 GHz	4	1323	 
1912	AMD Phenom II X2 B59	3.4 GHz	2	AM2+/AM3	1322	 
1913	AMD A4-6300 APU	3.7 GHz	2	FM2	1321	 
1914	Intel Xeon E3120	3.2 GHz	2	LGA775	1320	 
1915	AMD Phenom II P940 Quad-Core	1.7 GHz	4	S1	1318	 
1916	Intel Celeron J3160	1.6 GHz	4	BGA1170	1318	 
1917	AMD A9-9400	2.4 GHz	2	FP4	1318	 
1918	AMD Opteron 2393 SE	3.1 GHz	2	F (1207)	1317	 
1919	AMD Phenom II X2 555	3.2 GHz	2	AM2+/AM3	1316	 
1920	AMD A6-3500 APU	2.1 GHz	3	FM1	1313	 
1921	Intel Core i3-4010Y	1.3 GHz	2	BGA1168	1310	 
1922	Intel Pentium G840	2.8 GHz	2	LGA1155	1306	 
1923	Intel Xeon E5310	1.6 GHz	4	LGA771	1306	 
1924	Intel Celeron 3765U	1.9 GHz	2	BGA1168	1306	 
1925	AMD Phenom II X2 560	3.3 GHz	2	AM2+/AM3	1304	 
1926	Intel Core i5-480M	2.9 GHz	2	BGA1288	1303	 
1927	AMD Athlon II X2 280	3.6 GHz	2	AM3	1301	 
1928	AMD Phenom X4 Quad-Core GP-9500	2.2 GHz	4	AM2+	1297	 
1929	Intel Core i3-3227U	1.9 GHz	2	BGA1023	1295	 
1930	Intel Pentium G645	2.9 GHz	2	LGA1155	1294	 
1931	Intel Pentium G630	2.7 GHz	2	LGA1155	1293	 
1932	Intel Pentium G6960	2.9 GHz	2	LGA1156	1293	 
1933	AMD Athlon X2 340 Dual Core	3.2 GHz	2	1292	 
1934	AMD A10 Micro-6700T APU	1.2 GHz	4	FT3b	1291	 
1935	AMD A6-3410MX APU	1.6 GHz	4	FS1	1289	 
1936	AMD Athlon II X2 270	3.4 GHz	2	AM3	1285	 
1937	Intel Core i5-460M	2.8 GHz	2	BGA1288	1282	 
1938	Intel Celeron 2950M	2.0 GHz	2	PGA946	1282	 
1939	AMD Phenom 8850B Triple-Core	2.5 GHz	3	1281	 
1940	AMD A6-5400K APU	3.6 GHz	2	FM2	1280	 
1941	AMD Phenom 9100e Quad-Core	1.8 GHz	4	AM2+	1279	 
1942	AMD A6-9230	2.6 GHz	2	1279	 
1943	AMD Sempron 240	2.9 GHz	2	FM2	1278	 
1944	Intel Celeron G550	2.6 GHz	2	LGA1155	1275	 
1945	AMD A4-9125	2.3 GHz	2	BGA (FT4)	1275	 
1946	Intel Celeron 1020M	2.1 GHz	2	PGA988	1275	 
1947	AMD Embedded G-Series GX-224IJ Radeon R4E	2.4 GHz	2	FP4	1271	 
1948	Intel Celeron G555	2.7 GHz	2	LGA1155	1268	 
1949	Intel Core i3-2370M	2.4 GHz	2	PGA988B	1267	 
1950	Intel Core2 Duo E8500	3.2 GHz	2	LGA775	1266	 
1951	Intel Pentium A1020	2.4 GHz	4	BGA1170	1265	 
1952	AMD Phenom II X620 Dual-Core	3.1 GHz	2	S1	1262	 
1953	Intel Core i3-330E	2.1 GHz	2	BGA1288	1260	 
1954	AMD A6-5357M APU	2.9 GHz	2	FP2	1260	 
1955	Intel Core i3-4012Y	1.5 GHz	2	BGA1168	1256	 
1956	AMD A4-9120	2.2 GHz	2	BGA	1255	 
1957	AMD A6-9220C	1.8 GHz	2	FT4	1254	 
1958	Intel Atom x5-Z8500	1.4 GHz	4	UTBGA1380	1254	 
1959	AMD A8-3500M APU	1.5 GHz	4	FS1	1253	 
1960	Intel Core2 Extreme X9000	2.8 GHz	2	PGA478	1252	 
1961	Intel Celeron 4205U	1.8 GHz	2	BGA1528	1251	 
1962	AMD Phenom 8750 Triple-Core	2.4 GHz	3	AM2+	1250	 
1963	Intel Celeron 3865U	1.8 GHz	2	BGA1356	1250	 
1964	AMD A4-5000 APU	1.5 GHz	4	FT3	1249	 
1965	Intel Pentium G620	2.6 GHz	2	LGA1155	1249	 
1966	Intel Pentium G850	2.9 GHz	2	LGA1155	1243	 
1967	Intel Pentium G645T	2.5 GHz	2	LGA1155	1241	 
1968	Intel Xeon	2.2 GHz	1	PPGA603	1237	 
1969	AMD Phenom 9150e Quad-Core	1.8 GHz	4	AM2+	1237	 
1970	Intel Core i3-3229Y	1.4 GHz	2	BGA1023	1236	 
1971	Intel Core i5-430M	2.5 GHz	2	BGA1288	1235	 
1972	Intel Core i3-390M	2.7 GHz	2	BGA1288	1231	 
1973	Intel Core i3-2328M	2.2 GHz	2	PGA988	1230	 
1974	AMD Phenom X4 Quad-Core GP-9530	2.2 GHz	4	AM2+ (940-pin)	1228	 
1975	AMD Phenom II X2 550	3.1 GHz	2	AM2+/AM3	1228	 
1976	AMD A6-3420M APU	1.5 GHz	4	FS1	1227	 
1977	Intel Pentium G640	2.8 GHz	2	LGA1155	1222	 
1978	Intel Core i3-2330M	2.2 GHz	2	BGA1023	1222	 
1979	AMD Phenom II X3 705e	2.5 GHz	3	AM3	1222	 
1980	Intel Celeron 3965Y	1.5 GHz	2	BGA1515	1220	 
1981	Intel Core2 Duo T9900	3.1 GHz	2	BGA479,PGA478	1217	 
1982	AMD Phenom II X2 B55	3.0 GHz	2	AM3	1216	 
1983	AMD R-272F APU	2.7 GHz	2	FS1	1215	 
1984	Intel Core2 Duo E8435	3.1 GHz	2	Socket P	1213	 
1985	AMD Phenom II N850 Triple-Core	2.2 GHz	3	S1	1213	 
1986	AMD Phenom X3 8550	2.2 GHz	3	AM2/AM2+	1212	 
1987	Intel Core i5-450M	2.4 GHz	2	PGA988A	1212	 
1988	Intel Celeron J3355	2.0 GHz	2	BGA1296	1212	 
1989	AMD Phenom 8600 Triple-Core	2.3 GHz	3	AM2+	1210	 
1990	AMD Athlon II X2 B26	3.2 GHz	2	1204	 
1991	Intel Core2 Duo E8300	2.8 GHz	2	LGA775	1201	 
1992	Intel Xeon E3110	3.0 GHz	2	LGA775	1201	 
1993	Intel Pentium J2900	2.4 GHz	4	BGA1170	1199	 
1994	Intel Celeron 3855U	1.6 GHz	2	BGA1356	1199	 
1995	Intel Pentium N3530	2.2 GHz	4	BGA1170	1198	 
1996	AMD Opteron 2222	3.0 GHz	2	F (1207)	1198	 
1997	Intel Core i3-2350M	2.3 GHz	2	PGA988B	1197	 
1998	Intel Core i3-2348M	2.3 GHz	2	rPGA988B	1197	 
1999	Intel Core2 Duo E7600	3.1 GHz	2	LGA775	1196	 
2000	Intel Core i7-680UM	2.5 GHz	2	BGA1288	1196	 
2001	Intel Celeron N3150	1.6 GHz	4	BGA1170	1195	 
2002	Intel Pentium G6950	2.8 GHz	2	LGA1156	1192	 
2003	AMD Phenom II X2 521	3.5 GHz	2	AM2+/AM3	1190	 
2004	AMD Phenom 8750B Triple-Core	2.4 GHz	3	AM2+	1188	 
2005	Intel Core2 Duo E8235	2.8 GHz	2	Socket P	1186	 
2006	AMD R-460L APU	2.0 GHz	4	BGA827 (FP2)	1183	 
2007	Intel Celeron 3755U	1.7 GHz	2	BGA1168	1182	 
2008	AMD Athlon II X2 265	3.3 GHz	2	AM3	1182	 
2009	Intel Pentium N3540	2.2 GHz	4	BGA1170	1181	 
2010	AMD Phenom II N830 Triple-Core	2.8 GHz	3	S1	1179	 
2011	AMD Phenom II X2 545	3.0 GHz	2	AM2+/AM3	1178	 
2012	Intel Celeron G540T	2.1 GHz	2	LGA1155	1174	 
2013	Intel Core i3-3217U	1.8 GHz	2	BGA1023	1172	 
2014	Intel Core2 Duo E8335	2.7 GHz	2	Socket P	1172	 
2015	Intel Atom x5-Z8550	1.4 GHz	4	UTBGA1380	1171	 
2016	AMD A9-9420e	2.6 GHz	2	1171	 
2017	AMD Phenom II P860 Triple-Core	2.0 GHz	3	S1	1170	 
2018	AMD A4-4000 APU	3.0 GHz	2	FM2	1166	 
2019	Intel Celeron N3160	1.6 GHz	4	BGA1170	1166	 
2020	AMD Phenom II X640 Dual-Core	3.2 GHz	2	S1	1165	 
2021	AMD Phenom II X2 511	3.4 GHz	2	AM2+/AM3	1163	 
2022	AMD Phenom II P920 Quad-Core	1.6 GHz	4	S1	1160	 
2023	AMD Phenom 8650 Triple-Core	2.3 GHz	3	AM2+	1159	 
2024	AMD Sempron 3850 APU	1.3 GHz	4	AM1,FS1b	1159	 
2025	Intel Core i3-2310M	2.1 GHz	2	BGA1023	1158	 
2026	Intel Core2 Duo E8400	3.0 GHz	2	LGA775	1157	 
2027	AMD Phenom II X2 B53	2.8 GHz	2	AM3	1155	 
2028	Intel Core2 Duo P9700	2.8 GHz	2	PGA478	1155	 
2029	AMD QC-4000	1.3 GHz	4	FT3	1155	 
2030	AMD E2-6110 APU	1.5 GHz	4	AM1,FT3b	1152	 
2031	Intel Celeron 3215U	1.7 GHz	2	BGA1168	1149	 
2032	AMD Athlon II X2 210e	2.6 GHz	2	AM3	1148	 
2033	AMD A6 Micro-6500T APU	1.2 GHz	4	1146	 
2034	AMD A6-9210	2.4 GHz	2	FP4	1146	 
2035	AMD A4-5300 APU	3.4 GHz	2	FM2	1143	 
2036	Intel Core2 Duo T9800	2.9 GHz	2	BGA479	1142	 
2037	AMD Phenom 8850 Triple-Core	2.5 GHz	3	AM2+	1142	 
2038	AMD Phenom II N870 Triple-Core	2.3 GHz	3	S1	1139	 
2039	Intel Pentium G640T	2.4 GHz	2	LGA1155	1139	 
2040	Intel Core i3-380M	2.5 GHz	2	PGA988A	1138	 
2041	Intel Core2 Extreme X7800	2.6 GHz	2	PGA478	1138	 
2042	Intel Pentium 2127U	1.9 GHz	2	BGA1023	1137	 
2043	Intel Pentium B970	2.3 GHz	2	PGA988	1136	 
2044	AMD Phenom 8450e Triple-Core	2.1 GHz	3	AM2+	1134	 
2045	Intel Celeron G530	2.4 GHz	2	LGA1155	1131	 
2046	Intel Celeron J1900	2.0 GHz	4	BGA1170	1130	 
2047	AMD A8-7050	1.8 GHz	2	1129	 
2048	AMD A4-5150M APU	2.7 GHz	2	FS1r2	1129	 
2049	Intel Celeron N3350	1.1 GHz	2	BGA1296	1129	 
2050	Intel Atom Z3795	1.6 GHz	4	UTBGA1380	1128	 
2051	AMD A6-3400M APU	1.4 GHz	4	FS1	1127	 
2052	Intel Pentium E6800	3.3 GHz	2	LGA775	1127	 
2053	Intel Core2 Duo E6850	3.0 GHz	2	LGA775	1124	 
2054	AMD A6-5345M APU	2.2 GHz	2	FP2	1122	 
2055	Intel Pentium E6700	3.2 GHz	2	LGA775	1122	 
2056	Intel Xeon 3075	2.7 GHz	2	1121	 
2057	Intel Core i3-370M	2.4 GHz	2	PGA988A	1121	 
2058	Intel Core2 Extreme X9100	3.1 GHz	2	PGA478	1120	 
2059	Intel Pentium E5800	3.2 GHz	2	LGA775	1120	 
2060	Intel Pentium E6500	2.9 GHz	2	LGA775	1120	 
2061	Intel Xeon L5320	1.9 GHz	4	LGA771	1118	 
2062	Intel Celeron G540	2.5 GHz	2	LGA1155	1116	 
2063	Intel Celeron G1820TE	2.2 GHz	2	LGA1150	1115	 
2064	Intel Pentium N3520	2.2 GHz	4	BGA1170	1114	 
2065	AMD Phenom 8250 Triple-Core	1.9 GHz	3	1114	 
2066	AMD Athlon II X2 255	3.1 GHz	2	AM3	1113	 
2067	AMD Opteron 2220	2.8 GHz	2	F (1207)	1106	 
2068	Intel Xeon W3503	2.4 GHz	2	LGA1366	1106	 
2069	Intel Celeron G550T	2.2 GHz	2	LGA1155	1102	 
2070	AMD Phenom II P840 Triple-Core	1.9 GHz	3	S1	1100	 
2071	AMD Phenom II X2 B57	3.2 GHz	2	1099	 
2072	Intel Core i5-2537M	1.4 GHz	2	BGA1023	1094	 
2073	Intel Celeron 2002E	1.5 GHz	2	BGA1364	1091	 
2074	Intel Core i7-660UM	2.4 GHz	2	BGA1288	1091	 
2075	Intel Core2 Duo E6700	2.7 GHz	2	LGA775	1089	 
2076	AMD Opteron 1222	3.0 GHz	2	AM2	1089	 
2077	AMD Athlon 64 X2 Dual Core 6400+	3.2 GHz	2	AM2	1089	 
2078	AMD Athlon X2 250	3.0 GHz	2	1087	 
2079	Intel Celeron G1101	2.3 GHz	2	LGA1156	1086	 
2080	AMD Phenom 8400 Triple-Core	2.1 GHz	3	AM2+	1085	 
2081	AMD A4-5300B APU	3.4 GHz	2	FM2	1084	 
2082	AMD Phenom 8250e Triple-Core	1.9 GHz	3	940	1084	 
2083	AMD A6-9200	2.0 GHz	2	BGA	1076	 
2084	Intel Atom x5-E8000	1.0 GHz	4	BGA1170	1074	 
2085	Intel Atom x5-E3930	1.3 GHz	2	BGA1296	1073	 
2086	AMD Embedded G-Series GX-215JJ Radeon R2E	1.5 GHz	2	FP4	1071	 
2087	Intel Xeon 3085	3.0 GHz	2	LGA775	1070	 
2088	Intel Core2 Duo E7500	2.9 GHz	2	LGA775	1069	 
2089	AMD Phenom II P820 Triple-Core	1.8 GHz	3	S1	1068	 
2090	AMD Athlon II X2 250	3.0 GHz	2	AM3	1068	 
2091	Intel Celeron N2940	1.8 GHz	4	BGA1170	1068	 
2092	Intel Core2 Duo T9600	2.8 GHz	2	BGA479	1067	 
2093	AMD A4-3400 APU	2.7 GHz	2	FM1	1067	 
2094	AMD Phenom II N660 Dual-Core	3.0 GHz	2	S1	1065	 
2095	Intel Pentium E5700	3.0 GHz	2	LGA775	1065	 
2096	AMD PRO A4-4350B	2.5 GHz	2	FT4	1064	 
2097	AMD Phenom X4 Quad-Core GS-6560	1.0 GHz	4	1063	 
2098	Intel Celeron 2980U	1.6 GHz	2	BGA1168	1056	 
2099	Intel Xeon 5148	2.3 GHz	2	LGA771	1056	 
2100	Intel Celeron G530T	2.0 GHz	2	LGA1155	1055	 
2101	AMD A4-4020 APU	3.2 GHz	2	FM2	1054	 
2102	Intel Xeon W3505	2.5 GHz	2	LGA1366	1053	 
2103	AMD A4-4300M APU	2.5 GHz	2	FS1	1052	 
2104	Intel Core i3-350M	2.3 GHz	2	BGA1288	1051	 
2105	Intel Pentium B980	2.4 GHz	2	PGA988	1048	 
2106	AMD A6 PRO-7050B APU	2.2 GHz	2	FP3	1046	 
2107	AMD Athlon II X2 250e	3.0 GHz	2	AM3	1046	 
2108	Intel Celeron 1005M	1.9 GHz	2	PGA988	1044	 
2109	AMD Athlon II X2 235e	2.7 GHz	2	AM3	1043	 
2110	AMD Athlon II X2 B22	2.8 GHz	2	AM3	1042	 
2111	AMD A6-5350M APU	2.9 GHz	2	FS1r2	1040	 
2112	AMD Athlon II X2 B28	3.4 GHz	2	AM3	1040	 
2113	AMD GX-222GC SOC	2.2 GHz	2	BGA769 (FT3b)	1038	 
2114	AMD Opteron 1220	2.8 GHz	2	AM2	1036	 
2115	AMD Opteron 2218	2.6 GHz	2	F (1207)	1036	 
2116	Intel Core2 Duo T9500	2.6 GHz	2	BGA479	1034	 
2117	AMD Turion II Ultra Dual-Core Mobile M640	2.6 GHz	2	S1	1030	 
2118	Intel Celeron U1900	2.0 GHz	4	1028	 
2119	Intel Core i7-640UM	2.3 GHz	2	BGA1288	1026	 
2120	Intel Xeon 3070	2.7 GHz	2	LGA775	1025	 
2121	AMD A4 PRO-7350B	3.4 GHz	2	FM2+	1024	 
2122	Intel Core2 Extreme X7900	2.8 GHz	2	PGA478	1018	 
2123	Intel Pentium J2850	2.4 GHz	4	BGA1170	1016	 
2124	Intel Pentium 3805U	1.9 GHz	2	BGA1168	1016	 
2125	AMD A6-9220e	1.6 GHz	2	1016	 
2126	AMD Athlon II X2 245	2.9 GHz	2	AM2+/AM3	1015	 
2127	Intel Core i5-560UM	2.1 GHz	2	BGA1288	1015	 
2128	AMD Athlon X2 240e	2.8 GHz	2	1015	 
2129	AMD A6-1450 APU	1.0 GHz	4	FT3	1014	 
2130	AMD Athlon II X2 260	3.2 GHz	2	AM3	1013	 
2131	Intel Celeron 1000M	1.8 GHz	2	PGA988	1013	 
2132	AMD Phenom 8450 Triple-Core	2.1 GHz	3	AM2+	1012	 
2133	Intel Pentium A1018	2.1 GHz	2	PGA988	1011	 
2134	AMD A6-7000	2.2 GHz	2	FP3	1010	 
2135	AMD Phenom X2 Dual-Core GE-7060	3.4 GHz	2	1010	 
2136	Intel Core i5-540UM	2.0 GHz	2	BGA1288	1010	 
2137	AMD A4-3420 APU	2.8 GHz	2	FM1	1010	 
2138	Intel Celeron N2930	1.8 GHz	4	BGA1170	1009	 
2139	AMD Athlon II X2 245e	2.9 GHz	2	AM3	1008	 
2140	AMD Athlon II X2 B24	3.0 GHz	2	AM3	1006	 
2141	AMD A4 Micro-6400T APU	1.0 GHz	4	FT3b	1004	 
2142	Intel Core2 Extreme X6800	2.9 GHz	2	PLGA775	1004	 
2143	AMD E2-3800 APU	1.3 GHz	4	FT3	1004	 
2144	AMD A4-3300 APU	2.5 GHz	2	FM1	1001	 
2145	Intel Pentium 3556U	1.7 GHz	2	BGA1168	1001	 
2146	Intel Xeon 5160	3.0 GHz	2	LGA771	1000	 
2147	Intel Core i3-2367M	1.4 GHz	2	BGA1023	998	 
2148	AMD A6-4400M APU	2.7 GHz	2	FS1r2	996	 
2149	Intel Core2 Duo E8200	2.7 GHz	2	LGA775	996	 
2150	AMD Athlon X2 215	2.7 GHz	2	996	 
2151	Intel Pentium 3558U	1.7 GHz	2	BGA1168	994	 
2152	AMD E2-9010	2.0 GHz	2	FP4	991	 
2153	Intel Celeron 2981U	1.6 GHz	2	BGA1168	991	 
2154	Intel Pentium E5500	2.8 GHz	2	LGA775	985	 
2155	Intel Core2 Duo E7200	2.5 GHz	2	LGA775	985	 
2156	Intel Pentium Extreme Edition 965	3.7 GHz	2	PLGA775	982	 
2157	AMD Athlon II X2 240e	2.8 GHz	2	AM3	977	 
2158	Intel Core i3-2340UE	1.3 GHz	2	BGA-1023	976	 
2159	Intel Core i3-330M	2.1 GHz	2	BGA1288	976	 
2160	Intel Celeron 3205U	1.5 GHz	2	BGA1168	974	 
2161	AMD Athlon 64 FX-74	3.0 GHz	2	F (1207)	972	 
2162	Intel Core2 Duo P9600	2.5 GHz	2	PGA478	972	 
2163	Intel Pentium P6300	2.3 GHz	2	PGA988	967	 
2164	AMD GX-412HC	1.2 GHz	4	FT3b	966	 
2165	AMD Phenom II N640 Dual-Core	2.9 GHz	2	S1	965	 
2166	Intel Core i7-620UM	2.1 GHz	2	BGA1288	964	 
2167	Intel Pentium 2117U	1.8 GHz	2	BGA1023	964	 
2168	Intel Core2 Duo E6750	2.7 GHz	2	LGA775	963	 
2169	Intel Pentium G630T	2.3 GHz	2	LGA1155	959	 
2170	AMD Athlon II X2 4400e	2.7 GHz	2	958	 
2171	Intel Core2 Duo E7400	2.8 GHz	2	LGA775	957	 
2172	Intel Atom E3845	1.9 GHz	4	BGA1170	957	 
2173	Intel Core2 Duo T9300	2.5 GHz	2	BGA479	957	 
2174	AMD Turion II Ultra Dual-Core Mobile M660	2.7 GHz	2	S1	956	 
2175	AMD Opteron 285	2.6 GHz	2	940	956	 
2176	AMD R-260H APU	2.1 GHz	2	BGA827 (FP2)	954	 
2177	AMD Athlon II X2 220	2.8 GHz	2	AM3	954	 
2178	Intel Celeron 1017U	1.6 GHz	2	BGA1023	953	 
2179	Intel Pentium E5300	2.6 GHz	2	LGA775	952	 
2180	AMD Opteron 290	2.8 GHz	2	940	952	 
2181	AMD Athlon 64 X2 Dual Core 6000+	3.0 GHz	2	AM2	950	 
2182	Intel Pentium B950	2.1 GHz	2	PGA988	950	 
2183	Intel Celeron 1037U	1.8 GHz	2	BGA1023	950	 
2184	Intel Core2 Duo SP9400	2.4 GHz	2	BGA956	948	 
2185	Intel Core2 Duo P8700	2.5 GHz	2	BGA479	947	 
2186	VIA Eden X4 C4250	1.2 GHz	4	944	 
2187	AMD Athlon 64 FX-62 Dual Core	2.8 GHz	2	AM2	943	 
2188	AMD Athlon II X2 240	2.8 GHz	2	AM3	942	 
2189	Intel Celeron J1850	2.0 GHz	4	BGA1170	942	 
2190	Intel Xeon 3060	2.4 GHz	2	LGA775	939	 
2191	Intel Xeon 5150	2.7 GHz	2	LGA771	939	 
2192	AMD Athlon X2 255	3.1 GHz	2	AM2+/AM3	938	 
2193	AMD A4-9120C	1.6 GHz	2	FT4	937	 
2194	Intel Celeron E3500	2.7 GHz	2	LGA775	935	 
2195	AMD Phenom II N620 Dual-Core	2.8 GHz	2	S1	934	 
2196	Intel Core2 Duo P9500	2.5 GHz	2	BGA479	933	 
2197	Intel Celeron N2920	1.9 GHz	4	BGA1170	932	 
2198	Intel Core2 Duo T7800	2.6 GHz	2	BGA479	932	 
2199	Intel Pentium E5400	2.7 GHz	2	LGA775	931	 
2200	Intel Pentium E6600	3.1 GHz	2	LGA775	931	 
2201	Intel Celeron B840	1.9 GHz	2	PGA988B	930	 
2202	AMD Sempron X2 198 Dual-Core	2.5 GHz	2	FM1	930	 
2203	Intel Core2 Duo E7300	2.7 GHz	2	LGA775	929	 
2204	Intel Core i3-2375M	1.5 GHz	2	BGA1023	929	 
2205	Intel Xeon L3406	2.3 GHz	2	LGA1156	928	 
2206	Intel Core2 Duo P7570	2.3 GHz	2	PGA478	926	 
2207	AMD Athlon 7850 Dual-Core	2.8 GHz	2	AM2+	925	 
2208	AMD Turion II Ultra Dual-Core Mobile M600	2.4 GHz	2	S1	923	 
2209	AMD E2-9030	2.0 GHz	2	BGA (FT4)	922	 
2210	AMD Athlon X2 240	2.8 GHz	2	921	 
2211	Intel Atom x5-Z8350	1.4 GHz	4	UTBGA592	916	 
2212	Intel Core2 Duo T9400	2.5 GHz	2	BGA479	914	 
2213	AMD Turion II Dual-Core Mobile M540	2.4 GHz	2	S1	912	 
2214	AMD Opteron 1218	2.6 GHz	2	AM2	910	 
2215	AMD Opteron 2220 SE	2.8 GHz	2	F (1207)	909	 
2216	Intel Core2 Duo P9300	2.3 GHz	2	909	 
2217	Intel Pentium E6300	2.8 GHz	2	LGA775	906	 
2218	Intel Xeon 3.73GHz	3.7 GHz	2	901	 
2219	Intel Core2 Duo P7550	2.3 GHz	2	PGA478	900	 
2220	AMD Athlon II N370 Dual-Core	2.5 GHz	2	S1g4	899	 
2221	Intel Pentium G620T	2.2 GHz	2	LGA1155	896	 
2222	Intel Core2 Duo E6550	2.3 GHz	2	LGA775	889	 
2223	Intel Xeon 5133	2.2 GHz	2	LGA771	887	 
2224	AMD Athlon 64 X2 Dual Core 5600+	2.8 GHz	2	AM2	886	 
2225	AMD Phenom X2 Dual-Core GP-7730	2.7 GHz	2	884	 
2226	Intel Core i5-520UM	1.9 GHz	2	BGA1288	882	 
2227	AMD Athlon 7750 Dual-Core	2.7 GHz	2	AM2+	880	 
2228	AMD Sempron X2 190	2.5 GHz	2	AM2+/AM3	879	 
2229	AMD Turion II N550 Dual-Core	2.6 GHz	2	S1	877	 
2230	Intel Pentium N3510	2.0 GHz	4	BGA1170	877	 
2231	AMD A4-3320M APU	2.0 GHz	2	FS1	877	 
2232	AMD E2-9000	1.8 GHz	2	876	 
2233	Athlon 64 Dual Core 5600+	2.9 GHz	2	AM2	875	 
2234	Intel Core2 Duo T7600	2.3 GHz	2	PBGA479, PPGA478	873	 
2235	AMD Athlon II X2 4450e	2.3 GHz	2	AM2	867	 
2236	Intel Core2 Duo E6600	2.4 GHz	2	PLGA775	867	 
2237	Intel Core i3-2357M	1.3 GHz	2	866	 
2238	Intel Core2 Duo L9600	2.1 GHz	2	BGA956	865	 
2239	AMD Turion II P520 Dual-Core	2.3 GHz	2	S1	863	 
2240	Intel Core i3-2365M	1.4 GHz	2	BGA1023	863	 
2241	AMD Turion 64 X2 Mobile TL-68	2.4 GHz	2	S1	861	 
2242	Intel Core i3-2377M	1.5 GHz	2	BGA1023	861	 
2243	Intel Pentium P6000	1.9 GHz	2	PGA988	860	 
2244	AMD Athlon II X2 215	2.7 GHz	2	AM3	860	 
2245	AMD E2-3200 APU	2.4 GHz	2	FM1	859	 
2246	Intel Xeon 5140	2.3 GHz	2	LGA771	857	 
2247	Intel Core2 Duo T8300	2.4 GHz	2	BGA479	853	 
2248	Intel Pentium P6200	2.1 GHz	2	PGA988	853	 
2249	AMD Athlon II X2 4300e	2.6 GHz	2	851	 
2250	Athlon 64 Dual Core 5000+	2.6 GHz	2	850	 
2251	Intel Pentium 3560Y	1.2 GHz	2	BGA1168	849	 
2252	Intel Pentium P6100	2.0 GHz	2	PGA988	848	 
2253	Intel Core2 Duo T7700	2.4 GHz	2	BGA479	847	 
2254	Intel Core2 Duo T7500	2.2 GHz	2	BGA479	846	 
2255	Intel Pentium E5200	2.5 GHz	2	LGA775	846	 
2256	AMD A4-3310MX APU	2.1 GHz	2	FS1	844	 
2257	AMD Turion II N530 Dual-Core	2.5 GHz	2	S1	844	 
2258	AMD TurionX2 Ultra DualCore Mobile ZM-85	2.3 GHz	2	S1	841	 
2259	Intel Celeron E3400	2.6 GHz	2	LGA775	841	 
2260	Intel Core2 Duo P8800	2.7 GHz	2	BGA479	839	 
2261	Intel Pentium E2220	2.4 GHz	2	LGA775	839	 
2262	AMD Opteron 275	2.2 GHz	2	940	839	 
2263	Intel Xeon E5205	1.9 GHz	2	LGA771	838	 
2264	Intel Xeon E5502	1.9 GHz	2	LGA1366	837	 
2265	Intel Core i5-430UM	1.7 GHz	2	BGA1288	836	 
2266	Intel Core2 Duo P8400	2.3 GHz	2	BGA479	835	 
2267	Intel Celeron B830	1.8 GHz	2	rPGA988B	834	 
2268	Intel Pentium B960	2.2 GHz	2	PGA988	831	 
2269	Intel Celeron 2957U	1.4 GHz	2	BGA1168	830	 
2270	Intel Core2 Duo P8600	2.4 GHz	2	BGA479	829	 
2271	AMD Athlon Dual Core 5000B	2.6 GHz	2	AM2	827	 
2272	AMD Sempron X2 180	2.4 GHz	2	826	 
2273	AMD Athlon Dual Core 5400B	2.8 GHz	2	AM2	826	 
2274	AMD Athlon 7550 Dual-Core	2.5 GHz	2	AM2+	824	 
2275	Intel Xeon 3065	2.3 GHz	2	LGA775	822	 
2276	Intel Xeon 3050	2.1 GHz	2	LGA775	822	 
